COUNTRY	INDICATOR	YEAR	value
Austria	Unemployment	2020	5.5
Ireland	Unemployment	2020	12.1
Portugal	Unemployment	2020	13.9
Greece	Unemployment	2020	22.3
Finland	Unemployment	2020	8.3
Slovakia	Unemployment	2020	8.0
Lithuania	Unemployment	2020	8.9
Slovenia	Unemployment	2020	9.0
Luxembourg	Unemployment	2020	7.7
Latvia	Unemployment	2020	8.0
Estonia	Unemployment	2020	6.0
Cyprus	Unemployment	2020	8.8
Malta	Unemployment	2020	5.0
Sweden	Unemployment	2020	10.1
Czechia	Unemployment	2020	7.5
Denmark	Unemployment	2020	6.5
Poland	Unemployment	2020	9.9
Romania	Unemployment	2020	10.1
Hungary	Unemployment	2020	5.4
Bulgaria	Unemployment	2020	8.0
Croatia	Unemployment	2020	11.5
Germany	Unemployment	2021	3.5
France	Unemployment	2021	10.4
Italy	Unemployment	2021	10.5
Spain	Unemployment	2021	17.5
Netherlands	Unemployment	2021	5.0
Belgium	Unemployment	2021	6.8
Austria	Unemployment	2021	5.0
Ireland	Unemployment	2021	7.9
Portugal	Unemployment	2021	8.7
Greece	Unemployment	2021	19.0
Finland	Unemployment	2021	8.4
Slovakia	Unemployment	2021	7.4
Lithuania	Unemployment	2021	8.1
Slovenia	Unemployment	2021	6.0
Luxembourg	Unemployment	2021	6.8
Latvia	Unemployment	2021	6.3
Estonia	Unemployment	2021	4.7
Cyprus	Unemployment	2021	7.4
Malta	Unemployment	2021	4.4
Sweden	Unemployment	2021	8.9
Czechia	Unemployment	2021	6.0
Denmark	Unemployment	2021	6.0
Poland	Unemployment	2021	8.0
Romania	Unemployment	2021	6.0
Hungary	Unemployment	2021	4.0
Bulgaria	Unemployment	2021	4.5
Croatia	Unemployment	2021	8.0
