Country.Name	INDICATOR	2016	2017	2018	2019.S20	2020.S20	2021.S20	2019.A19	2020.A19	2021.A19
Greece	EmpC	-0.9	0.5	1.3	1.1	-3.6	3.2	0.4	1.1	2.0
Spain	EmpC	-0.6	0.7	1.0	2.0	0.5	0.7	2.4	2.2	2.1
France	EmpC	1.3	2.0	1.8	0.2	6.0	-6.0	-0.2	1.4	1.9
Italy	EmpC	0.1	0.6	2.1	1.6	-0.5	0.8	1.0	1.1	1.0
Cyprus	EmpC	-0.9	1.0	0.5	2.9	-5.4	6.6	3.4	3.1	3.0
Latvia	EmpC	7.3	7.6	8.5	8.8	0.3	3.9	6.1	5.0	4.8
Lithuania	EmpC	6.4	9.5	7.7	9.5	-8.2	7.4	7.0	4.4	4.0
Luxembourg	EmpC	0.8	3.0	3.3	1.7	1.8	2.4	3.2	2.5	2.3
Malta	EmpC	2.9	-0.5	2.1	2.4	3.4	2.8	2.4	3.4	3.0
Netherlands	EmpC	1.2	1.0	1.7	2.9	2.2	1.5	2.5	3.2	2.5
Austria	EmpC	2.4	1.6	2.9	2.9	0.7	1.2	2.8	2.0	1.9
Portugal	EmpC	1.2	2.3	2.5	2.8	0.2	1.7	3.2	2.8	2.8
Slovenia	EmpC	3.1	3.0	3.9	4.5	1.6	1.2	3.6	3.6	3.6
Slovakia	EmpC	2.2	5.4	5.6	6.2	1.3	2.5	7.1	5.4	4.9
Finland	EmpC	0.9	-1.1	1.3	1.6	2.1	2.8	3.1	3.0	3.2
Bulgaria	EmpC	5.8	10.5	9.7	6.1	3.4	2.3	7.8	6.6	5.4
Czechia	EmpC	4.0	6.4	8.0	6.2	2.5	4.2	5.2	4.7	4.4
Denmark	EmpC	1.3	1.6	1.7	1.5	1.0	1.7	2.3	2.7	3.0
Croatia	EmpC	0.4	0.2	2.2	3.4	-1.2	1.1	2.6	2.5	2.2
Hungary	EmpC	2.4	7.0	6.2	9.4	5.0	4.4	7.8	6.5	6.4
Poland	EmpC	4.8	5.8	7.9	7.3	3.8	2.6	8.1	8.2	7.6
Romania	EmpC	15.0	14.8	13.4	8.9	2.6	4.8	13.0	9.2	7.1
Sweden	EmpC	2.6	2.1	3.9	3.0	-1.3	5.6	3.1	2.9	3.0
Belgium	ULC	0.3	1.5	1.8	1.9	5.1	-4.0	1.8	1.7	1.9
Germany	ULC	1.3	1.5	2.7	3.5	5.3	-1.9	3.6	1.6	1.7
Estonia	ULC	3.3	3.9	6.5	4.6	3.4	0.6	4.7	3.6	3.2
Ireland	ULC	2.2	-2.3	-2.6	1.4	3.5	-3.0	0.4	1.8	2.0
Greece	ULC	-0.3	0.6	1.1	1.3	2.9	-0.8	0.7	1.0	1.4
Spain	ULC	-0.8	0.7	1.2	2.3	1.3	-0.2	2.7	1.7	1.5
France	ULC	0.7	0.6	1.0	0.1	5.1	-3.7	-0.4	0.9	1.3
Italy	ULC	0.2	-0.3	2.0	1.5	1.8	-0.2	1.6	0.8	0.5
Cyprus	ULC	-2.9	1.9	0.6	2.8	-0.4	2.7	3.0	2.7	2.5
Latvia	ULC	5.1	3.7	5.7	6.4	5.0	-1.5	3.1	2.3	2.2
Lithuania	ULC	6.1	4.3	5.3	5.9	-3.8	2.0	3.3	2.1	1.6
Luxembourg	ULC	-0.7	4.6	3.9	3.0	8.5	-0.2	4.3	3.3	2.8
Malta	ULC	1.4	1.0	0.8	3.6	7.8	-0.3	1.4	2.3	1.7
Netherlands	ULC	1.1	0.3	1.8	3.0	7.0	-2.0	2.6	2.5	1.5
Austria	ULC	1.6	0.8	2.2	2.4	5.1	-2.3	2.3	1.3	1.1
Portugal	ULC	0.8	2.1	2.2	1.4	3.8	-1.3	2.2	1.7	1.6
Slovenia	ULC	1.8	1.2	3.0	4.5	6.3	-3.3	3.3	2.4	2.2
Slovakia	ULC	2.5	4.5	3.5	5.1	4.9	-2.0	5.2	3.0	2.4
Finland	ULC	-1.3	-3.1	2.2	1.6	6.3	0.2	2.7	2.3	2.5
Bulgaria	ULC	2.4	8.7	6.3	3.0	8.6	-3.1	4.7	3.5	2.3
Czechia	ULC	3.1	3.6	6.5	4.2	5.9	0.0	3.7	3.0	2.8
Denmark	ULC	-0.2	1.1	0.7	0.3	5.6	-1.9	1.6	2.0	2.1
Croatia	ULC	-2.7	-0.7	1.4	1.9	4.5	-3.1	1.0	1.0	0.8
Hungary	ULC	4.0	4.5	3.4	6.0	8.6	-0.4	5.0	3.8	3.5
Poland	ULC	2.5	2.2	3.0	2.8	3.5	0.7	4.0	4.6	4.1
Romania	ULC	8.5	9.8	8.8	4.5	6.4	1.3	8.8	5.6	3.8
Sweden	ULC	2.0	2.1	3.3	2.4	2.4	2.3	2.2	1.8	2.2
